ID_Compra,CPF_Cliente,ID_Produto,Data_Compra,Quantidade,Preco_Unitario,Satisfacao,Valor_Total,Desconto,Valor_Com_Desconto,Forma_Pagamento,Data_Hora_Geracao
CO000719,754.178.626-34,P0014,2024-04-08,2,139.9,3.7,279.8,0,279.8,Cartão de Crédito,2026-09-23 16:55:35
CO000720,296.961.356-58,P0066,2025-07-06,2,142.89,1.1,285.78,0,285.78,Boleto,2026-09-23 16:55:35
CO000721,477.578.922-80,P0001,2025-01-13,4,274.89,4.3,1099.56,0,1099.56,Cartão de Crédito,2026-09-23 16:55:35
CO000722,604.249.164-31,P0074,2024-05-09,4,80.87,3.9,323.48,0.1,291.13,Dinheiro,2026-09-23 16:55:35
CO000723,456.587.199-66,P0015,2025-05-20,1,89.9,2.8,89.9,0.05,85.41,Cartão de Débito,2026-09-23 16:55:35
CO000724,657.330.763-29,P0018,2024-12-28,3,121.37,,364.11,0,364.11,PIX,2026-09-23 16:55:35
CO000725,922.553.395-30,P0029,2024-12-09,1,134.87,2.3,134.87,0.1,121.38,Cartão de Débito,2026-09-23 16:55:35
CO000726,786.157.304-44,P0081,2025-12-24,5,98.89,3.7,494.45,0,494.45,Vale-presente,2026-09-23 16:55:35
CO000727,177.748.913-21,P0005,2025-06-17,4,79.9,1.4,319.6,0.15,271.66,Cartão de Débito,2026-09-23 16:55:35
CO000728,765.385.355-24,P0072,2024-01-09,1,119.9,4.8,119.9,0.15,101.92,Cartão de Crédito,2026-09-23 16:55:35
CO000729,460.206.691-74,P0076,2025-11-20,4,110.42,4.5,441.68,0,441.68,Cartão de Crédito,2026-09-23 16:55:35
CO000730,521.112.117-77,P0061,2025-05-23,2,67.43,2.9,134.86,0,134.86,Cartão de Débito,2026-09-23 16:55:35
CO000731,251.167.229-45,P0026,2024-08-07,1,"269,87",4.8,269.87,0.2,215.9,PIX,2026-09-23 16:55:35
CO000732,726.129.983-97,P0009,2025-12-28,4,43.89,3.2,175.56,0,175.56,Cartão de Crédito,2026-09-23 16:55:35
CO000733,473.915.981-15,P0054,2025-08-20,3,42.41,3.5,127.23,0.15,108.15,Cartão de Crédito,2026-09-23 16:55:35
CO000734,803.968.708-21,P0045,2024-11-03,4,53.91,3.1,215.64,0,215.64,Cartão de Crédito,2026-09-23 16:55:35
CO000735,671.694.804-83,P0086,2025-02-05,4,98.89,3.0,395.56,0.15,336.23,Boleto,2026-09-23 16:55:35
CO000736,799.536.276-55,P0070,2024-04-25,4,37.42,2.2,149.68,0,149.68,Cartão de Débito,2026-09-23 16:55:35
CO000737,445.544.803-27,P0058,2024-04-28,3,155.88,2.0,467.64,0.05,444.26,Cartão de Crédito,2026-09-23 16:55:35
CO000738,757.728.736-41,P0041,2025-12-22,1,42.41,2.4,42.41,0.05,40.29,Cartão de Crédito,2026-09-23 16:55:35
CO000739,782.717.514-72,P0062,2024-08-28,4,219.9,3.4,879.6,0.15,747.66,PIX,2026-09-23 16:55:35
CO000740,211.887.354-94,P0035,2025-02-22,5,69.9,1.9,349.5,0.2,279.6,PIX,2026-09-23 16:55:35
CO000741,643.258.560-47,P0099,2025-02-25,3,49.9,2.0,149.7,0,149.7,Dinheiro,2026-09-23 16:55:35
CO000742,945.155.936-38,P0055,2024-10-01,4,41.88,2.0,167.52,0,167.52,Dinheiro,2026-09-23 16:55:35
CO000743,292.568.189-20,P0029,2024-11-11,3,134.87,3.5,404.61,0,404.61,Dinheiro,2026-09-23 16:55:35
CO000744,582.231.858-43,P0029,2024-07-30,5,134.87,4.5,674.35,0.1,606.92,Vale-presente,2026-09-23 16:55:35
CO000745,701.406.754-64,P0079,2025-07-06,5,59.88,2.3,299.4,0.1,269.46,PIX,2026-09-23 16:55:35
CO000746,870.376.814-88,P0003,2024-12-07,4,26.17,1.4,104.68,0.15,88.98,Cartão de Débito,2026-09-23 16:55:35
CO000747,517.215.879-50,P0099,2025-06-15,5,49.9,1.3,249.5,0,249.5,Cartão de Crédito,2026-09-23 16:55:35
CO000748,642.466.885-84,P0069,2025-07-02,2,239.88,4.9,479.76,0.2,383.81,Dinheiro,2026-09-23 16:55:35
CO000749,563.607.346-20,P0030,2024-12-05,3,42.41,4.2,127.23,0,127.23,Dinheiro,2026-09-23 16:55:35
CO000750,825.676.406-70,P0071,2024-01-21,2,42.41,4.8,84.82,0,84.82,Boleto,2026-09-23 16:55:35
CO000751,607.137.229-74,P0065,2024-06-09,4,82.43,4.2,329.72,0,329.72,Cartão de Débito,2026-09-23 16:55:35
CO000752,701.216.456-55,P0004,2024-09-10,2,169.9,3.5,339.8,0.15,288.83,PIX,2026-09-23 16:55:35
CO000753,247.870.940-60,P0096,2025-11-02,1,149.9,4.3,149.9,0.05,142.41,Dinheiro,2026-09-23 16:55:35
CO000754,251.167.229-45,P0095,2024-03-16,3,71.88,4.4,215.64,0,215.64,Boleto,2026-09-23 16:55:35
CO000755,870.376.814-88,P0091,2025-07-08,4,169.9,1.1,679.6,0.15,577.66,Boleto,2026-09-23 16:55:35
CO000756,716.256.878-93,P0013,2025-09-12,5,219.9,4.2,1099.5,0,1099.5,Cartão de Débito,2026-09-23 16:55:35
CO000757,756.793.246-18,P0055,2024-10-07,5,41.88,4.0,209.4,0,209.4,Dinheiro,2026-09-23 16:55:35
CO000758,924.926.801-61,P0013,2025-04-27,3,219.9,4.9,659.7,0.1,593.73,Dinheiro,2026-09-23 16:55:35
CO000759,870.439.915-65,P0055,2025-07-28,1,41.88,1.9,41.88,0.05,39.79,Cartão de Débito,2026-09-23 16:55:35
CO000760,119.969.619-90,P0037,2024-01-18,5,87.89,3.0,439.45,0.05,417.48,Dinheiro,2026-09-23 16:55:35
CO000761,292.568.189-20,P0051,2024-04-20,3,49.9,4.1,149.7,0.15,127.24,Dinheiro,2026-09-23 16:55:35
CO000762,394.831.180-54,P0074,2025-04-02,1,80.87,2.6,80.87,0,80.87,Cartão de Débito,2026-09-23 16:55:35
CO000763,174.397.787-18,P0073,2024-05-27,1,44.9,3.6,44.9,0,44.9,Vale-presente,2026-09-23 16:55:35
CO000764,735.161.724-22,P0013,2025-05-16,5,219.9,1.7,1099.5,0.2,879.6,Boleto,2026-09-23 16:55:35
CO000765,891.788.938-51,P0011,2025-04-29,2,49.9,2.6,99.8,0.2,79.84,Boleto,2026-09-23 16:55:35
CO000766,853.156.627-96,P0073,2024-09-15,2,44.9,1.2,89.8,0.05,85.31,Dinheiro,2026-09-23 16:55:35
CO000767,242.903.311-36,P0095,2024-11-25,3,71.88,4.3,215.64,0,215.64,Vale-presente,2026-09-23 16:55:35
CO000768,756.429.213-22,P0077,2025-12-07,4,110.42,4.5,441.68,0,441.68,Cartão de Crédito,2026-09-23 16:55:35
CO000769,943.247.113-27,P0072,2025-10-29,4,119.9,3.2,,0,479.6,Cartão de Crédito,2026-09-23 16:55:35
CO000770,631.796.555-11,P0060,2024-03-24,4,33.62,3.1,134.48,0.2,107.58,PIX,2026-09-23 16:55:35
CO000771,903.208.609-35,P0090,2024-01-14,1,26.91,2.5,26.91,0.2,21.53,Cartão de Crédito,2026-09-23 16:55:35
CO000772,282.587.421-55,P0096,2024-04-26,1,149.9,1.7,149.9,0.05,142.41,PIX,2026-09-23 16:55:35
CO000773,376.737.720-99,P0064,2025-05-13,2,119.9,3.5,239.8,0.1,215.82,Cartão de Crédito,2026-09-23 16:55:35
CO000774,910.102.257-43,P0071,2024-04-30,4,42.41,2.6,169.64,0,169.64,Dinheiro,2026-09-23 16:55:35
CO000775,218.951.847-28,P0093,2025-01-15,3,59.42,3.1,178.26,0.1,160.43,Boleto,2026-09-23 16:55:35
CO000776,704.523.344-89,P0022,2024-07-28,2,98.89,2.2,197.78,0.15,168.11,Boleto,2026-09-23 16:55:35
CO000777,718.260.908-91,P0048,2025-04-18,5,159.9,3.4,799.5,0.05,759.52,Cartão de Crédito,2026-09-23 16:55:35
CO000778,320.140.161-60,P0096,2025-04-30,2,149.9,1.7,299.8,0.15,254.83,PIX,2026-09-23 16:55:35
CO000779,907.451.798-16,P0054,2024-01-06,2,42.41,1.6,84.82,0,84.82,Cartão de Débito,2026-09-23 16:55:35
CO000780,141.236.202-90,P0025,2025-04-14,2,199.9,3.8,399.8,0.1,359.82,Cartão de Débito,2026-09-23 16:55:35
CO000781,470.737.874-73,P0008,2024-03-09,5,37.42,2.9,187.1,0,187.1,Cartão de Débito,2026-09-23 16:55:35
CO000782,595.850.994-77,P0072,2024-07-16,2,119.9,2.4,239.8,0,239.8,Cartão de Débito,2026-09-23 16:55:35
CO000783,239.407.428-87,P0055,2025-10-01,5,41.88,3.9,209.4,0,209.4,Dinheiro,2026-09-23 16:55:35
CO000784,560.967.479-21,P0072,2024-03-20,5,119.9,3.6,599.5,0,599.5,Boleto,2026-09-23 16:55:35
CO000785,758.750.739-51,P0014,2025-07-31,2,139.9,2.1,279.8,0,279.8,PIX,2026-09-23 16:55:35
CO000786,356.917.278-24,P0067,2024-12-04,5,120.89,3.6,604.45,0.05,574.23,Boleto,2026-09-23 16:55:35
CO000787,204.859.272-18,P0076,2025-09-22,5,110.42,2.1,552.1,0.2,441.68,Vale-presente,2026-09-23 16:55:35
CO000788,239.864.500-79,P0027,2024-08-09,2,212.41,1.0,424.82,0,424.82,PIX,2026-09-23 16:55:35
CO000789,679.992.775-29,P0019,2024-01-01,2,41.88,1.7,83.76,0.2,67.01,Cartão de Débito,2026-09-23 16:55:35
CO000790,878.637.711-46,P0007,2025-03-11,2,239.88,3.0,479.76,0.05,455.77,Vale-presente,2026-09-23 16:55:35
CO000791,721.188.388-66,P0042,2024-09-03,3,189.9,3.0,569.7,0,569.7,Boleto,2026-09-23 16:55:35
CO000792,150.863.586-44,P0049,2024-11-15,4,254.91,3.8,1019.64,0,1019.64,Boleto,2026-09-23 16:55:35
CO000793,944.316.606-44,P0068,2024-08-07,1,95.88,4.5,95.88,0.2,76.7,Cartão de Crédito,2026-09-23 16:55:35
CO000794,219.985.901-49,P0036,2025-03-28,2,149.93,4.4,299.86,0.1,269.87,Dinheiro,2026-09-23 16:55:35
CO000795,316.926.769-95,P0033,2025-10-29,1,52.43,3.2,52.43,0.05,49.81,Cartão de Débito,2026-09-23 16:55:35
CO000796,865.116.465-18,P0004,2025-11-17,3,169.9,4.4,509.7,0.2,407.76,Cartão de Débito,2026-09-23 16:55:35
CO000797,292.568.189-20,P0055,2025-01-26,2,41.88,3.5,83.76,0,83.76,Cartão de Débito,2026-09-23 16:55:35
CO000798,460.659.446-92,P0096,2025-06-22,1,149.9,1.8,149.9,0,149.9,Cartão de Crédito,2026-09-23 16:55:35
CO000799,891.396.181-39,P0076,2024-09-16,3,110.42,2.3,331.26,0,331.26,Boleto,2026-09-23 16:55:35
CO000800,545.261.564-10,P0078,2025-10-19,3,89.9,1.1,269.7,0,269.7,Dinheiro,2026-09-23 16:55:35
CO000801,821.303.380-57,P0006,2025-08-08,3,39.9,2.1,119.7,0,119.7,PIX,2026-09-23 16:55:35
CO000802,563.607.346-20,P0061,2024-06-26,5,67.43,3.5,337.15,0.05,320.29,Dinheiro,2026-09-23 16:55:35
CO000803,603.804.760-41,P0083,2025-01-13,5,143.91,4.2,719.55,0,719.55,PIX,2026-09-23 16:55:35
CO000804,835.850.226-21,P0092,2024-05-14,2,33.62,3.8,67.24,0,67.24,PIX,2026-09-23 16:55:35
CO000805,445.544.803-27,P0016,2024-03-04,1,32.89,2.8,32.89,0.15,27.96,Cartão de Débito,2026-09-23 16:55:35
CO000806,621.822.379-63,P0070,2025-11-01,3,"37,42",4.9,112.26,0,112.26,Boleto,2026-09-23 16:55:35
CO000807,259.104.856-79,P0003,2024-11-20,3,26.17,4.3,78.51,0.2,62.81,Vale-presente,2026-09-23 16:55:35
CO000808,625.250.950-65,P0076,2025-02-16,3,110.42,3.1,331.26,0.15,281.57,Dinheiro,2026-09-23 16:55:35
CO000809,687.851.439-63,P0086,2025-05-28,1,98.89,"1,3",98.89,0.2,79.11,Cartão de Crédito,2026-09-23 16:55:35
CO000810,214.813.251-73,P0035,2024-10-09,1,69.9,1.7,69.9,0,69.9,Boleto,2026-09-23 16:55:35
CO000811,390.966.180-42,P0089,2024-01-04,5,121.37,2.6,606.85,0.15,515.82,Cartão de Débito,2026-09-23 16:55:35
CO000812,337.958.177-53,P0072,2025-08-04,3,119.9,1.5,359.7,0.05,341.71,Vale-presente,2026-09-23 16:55:35
CO000813,657.330.763-29,P0073,2024-07-05,4,44.9,1.4,179.6,0,179.6,Vale-presente,2026-09-23 16:55:35
CO000814,657.330.763-29,P0024,2024-06-22,3,79.9,3.4,239.7,0,239.7,PIX,2026-09-23 16:55:35
CO000815,697.591.274-77,P0082,2024-09-09,3,89.93,2.8,269.79,0.15,229.32,Cartão de Débito,2026-09-23 16:55:35
CO000816,158.708.772-37,P0083,2024-05-15,2,143.91,4.0,287.82,0.15,244.65,Cartão de Débito,2026-09-23 16:55:35
CO000817,575.151.670-41,P0049,2025-08-01,3,254.91,1.7,764.73,0,764.73,Cartão de Débito,2026-09-23 16:55:35
CO000818,519.683.568-28,P0029,2024-06-30,2,134.87,2.1,269.74,0,269.74,Cartão de Débito,2026-09-23 16:55:35
CO000819,146.676.984-38,P0090,2024-12-29,4,26.91,2.1,107.64,0.05,102.26,Boleto,2026-09-23 16:55:35
CO000820,706.425.925-99,P0045,2025-12-04,5,53.91,2.8,269.55,0.15,229.12,Cartão de Crédito,2026-09-23 16:55:35
CO000821,752.368.265-66,P0075,2024-08-03,4,29.88,1.6,119.52,0.1,107.57,Vale-presente,2026-09-23 16:55:35
CO000822,726.129.983-97,P0045,2025-05-30,3,53.91,1.8,161.73,0.15,137.47,Boleto,2026-09-23 16:55:35
CO000823,719.623.157-95,P0035,2024-09-21,1,69.9,3.1,69.9,0,69.9,Cartão de Crédito,2026-09-23 16:55:35
CO000824,315.786.744-37,P0034,2025-11-05,1,329.89,4.7,329.89,0.1,296.9,Vale-presente,2026-09-23 16:55:35
CO000825,143.844.990-55,P0061,2025-01-16,2,67.43,2.9,134.86,0,134.86,Boleto,2026-09-23 16:55:35
CO000826,541.769.268-87,P0085,2025-12-19,5,359.88,4.6,1799.4,0,1799.4,PIX,2026-09-23 16:55:35
CO000827,298.438.953-53,P0046,2024-12-08,1,33.91,1.6,33.91,0.05,32.21,Cartão de Débito,2026-09-23 16:55:35
CO000828,215.459.590-69,P0013,2024-06-15,2,219.9,4.7,439.8,0,439.8,Dinheiro,2026-09-23 16:55:35
CO000829,948.487.325-43,P0024,2025-04-12,1,79.9,2.8,79.9,0.1,71.91,Boleto,2026-09-23 16:55:35
CO000830,122.890.941-98,P0089,2024-09-06,4,121.37,3.9,485.48,0.05,461.21,Cartão de Débito,2026-09-23 16:55:35
CO000831,853.156.627-96,P0048,2025-02-14,5,159.9,2.4,799.5,0.15,679.57,Cartão de Débito,2026-09-23 16:55:35
CO000832,901.521.921-95,P0030,2024-10-02,5,42.41,1.4,212.05,0.05,201.45,Boleto,2026-09-23 16:55:35
CO000833,,P0076,2024-11-03,1,110.42,1.7,110.42,0,110.42,Boleto,2026-09-23 16:55:35
CO000834,165.937.937-23,P0068,2024-05-22,2,95.88,4.8,191.76,0.1,172.58,Cartão de Crédito,2026-09-23 16:55:35
CO000835,829.613.375-62,P0043,2024-05-24,1,69.9,4.9,69.9,0,69.9,Cartão de Débito,2026-09-23 16:55:35
CO000836,852.626.222-58,P0051,2024-05-31,2,49.9,2.8,99.8,0.15,84.83,Cartão de Crédito,2026-09-23 16:55:35
CO000837,877.822.580-67,P0039,2024-07-27,3,219.9,1.3,659.7,0,659.7,Dinheiro,2026-09-23 16:55:35
CO000838,881.874.279-70,P0093,2025-01-18,2,59.42,1.6,118.84,0.1,106.96,PIX,2026-09-23 16:55:35
CO000839,174.397.787-18,P0021,2025-12-04,3,,1.4,239.7,0.1,215.73,Dinheiro,2026-09-23 16:55:35
CO000840,930.955.855-96,P0028,2025-04-19,4,110.42,3.7,441.68,0.2,353.34,Vale-presente,2026-09-23 16:55:35
CO000841,654.161.170-70,P0098,2024-05-16,1,143.88,2.6,143.88,0,143.88,Dinheiro,2026-09-23 16:55:35
CO000842,958.534.842-73,P0042,2025-03-10,3,189.9,4.3,569.7,0.15,484.25,Boleto,2026-09-23 16:55:35
CO000843,,P0069,2025-08-23,1,239.88,2.4,239.88,0.15,203.9,PIX,2026-09-23 16:55:35
CO000844,405.330.404-46,P0078,2025-01-05,2,89.9,4.1,179.8,0,179.8,Cartão de Débito,2026-09-23 16:55:35
CO000845,814.642.539-39,P0001,2024-03-20,5,274.89,3.4,1374.45,0.05,1305.73,Vale-presente,2026-09-23 16:55:35
CO000846,681.717.209-52,P0018,2024-11-05,4,121.37,1.8,485.48,0,485.48,Dinheiro,2026-09-23 16:55:35
CO000847,891.513.985-75,P0044,2024-06-03,4,131.88,3.6,527.52,0.05,501.14,Cartão de Débito,2026-09-23 16:55:35
CO000848,242.903.311-36,P0050,2024-07-02,4,26.17,1.1,104.68,0.05,99.45,Cartão de Crédito,2026-09-23 16:55:35
CO000849,821.303.380-57,P0088,2024-03-25,5,49.9,4.3,249.5,0.05,237.02,Cartão de Débito,2026-09-23 16:55:35
CO000850,758.208.552-43,P0094,2024-01-13,1,164.89,3.6,164.89,0.05,156.65,Cartão de Crédito,2026-09-23 16:55:35
CO000851,551.567.100-64,P0017,2025-04-10,5,94.37,3.0,471.85,0.15,401.07,PIX,2026-09-23 16:55:35
CO000852,,P0084,2024-11-06,4,26.91,2.7,107.64,0,107.64,Dinheiro,2026-09-23 16:55:35
CO000853,468.625.609-69,P0095,2025-04-06,1,71.88,3.4,71.88,0.2,57.5,Boleto,2026-09-23 16:55:35
CO000854,941.825.786-91,P0100,2025-07-01,4,107.91,3.8,431.64,0.2,345.31,Cartão de Débito,2026-09-23 16:55:35
CO000855,381.108.679-97,produto_11,2025-11-21,4,129.9,3.1,519.6,0.05,493.62,PIX,2026-09-23 16:55:35
CO000856,897.272.178-75,P0001,2025-08-27,3,274.89,4.8,824.67,0.15,700.97,Cartão de Débito,2026-09-23 16:55:35
CO000857,951.227.630-29,P0066,2025-03-21,5,142.89,3.9,714.45,0.05,678.73,PIX,2026-09-23 16:55:35
CO000858,757.728.736-41,P0037,2025-04-16,1,87.89,1.5,87.89,0.05,83.5,Cartão de Débito,2026-09-23 16:55:35
CO000859,443.195.938-40,P0077,2025-11-22,3,110.42,2.0,331.26,0,331.26,Cartão de Débito,2026-09-23 16:55:35
CO000860,517.215.879-50,P0004,2024-12-31,5,169.9,2.1,849.5,0,849.5,Dinheiro,2026-09-23 16:55:35
CO000861,662.269.371-77,P0058,2025-09-02,3,155.88,2.2,467.64,0,467.64,PIX,2026-09-23 16:55:35
CO000862,799.536.276-55,P0094,2024-09-11,1,164.89,3.1,164.89,0.05,156.65,Cartão de Crédito,2026-09-23 16:55:35
CO000863,,P0069,2025-10-10,1,239.88,1.5,239.88,0,239.88,Dinheiro,2026-09-23 16:55:35
CO000864,999.850.195-57,P0036,2025-09-24,3,149.93,4.9,449.79,0.15,382.32,Cartão de Crédito,2026-09-23 16:55:35
CO000865,908.413.275-43,P0068,2024-11-30,5,,2.8,479.4,0,479.4,Cartão de Débito,2026-09-23 16:55:35
CO000866,473.915.981-15,P0019,2024-04-13,5,41.88,4.9,209.4,0.15,177.99,Dinheiro,2026-09-23 16:55:35
CO000867,622.628.815-39,P0093,2024-11-05,1,59.42,2.4,59.42,0.15,50.51,Dinheiro,2026-09-23 16:55:35
CO000868,898.319.977-38,P0003,2025-10-30,2,26.17,4.8,52.34,0,52.34,Vale-presente,2026-09-23 16:55:35
CO000869,753.989.870-72,P0056,2024-09-24,1,89.9,4.2,89.9,0.1,80.91,Cartão de Débito,2026-09-23 16:55:35
CO000870,416.847.887-67,P0066,2025-12-11,5,142.89,4.4,714.45,0,714.45,PIX,2026-09-23 16:55:35
CO000871,604.487.459-79,P0074,2024-10-08,4,80.87,1.9,323.48,0.05,307.31,Vale-presente,2026-09-23 16:55:35
CO000872,653.331.103-59,P0100,2024-02-16,2,107.91,2.1,215.82,0.15,183.45,Boleto,2026-09-23 16:55:35
CO000873,347.481.600-86,P0024,20240731,3,79.9,2.1,239.7,0.05,227.71,PIX,2026-09-23 16:55:35
CO000874,420.749.159-10,P0085,2025-09-05,2,359.88,2.1,719.76,0.05,683.77,Vale-presente,2026-09-23 16:55:35
CO000875,907.451.798-16,P0013,2024-11-28,2,219.9,1.9,439.8,0.15,373.83,Cartão de Crédito,2026-09-23 16:55:35
CO000876,329.765.170-93,P0079,2025-04-16,3,59.88,3.9,179.64,0.1,161.68,Boleto,2026-09-23 16:55:35
CO000877,119.333.329-26,P0082,2025-05-02,5,89.93,2.3,449.65,0.05,427.17,Boleto,2026-09-23 16:55:35
CO000878,666.981.111-97,P0044,2025-03-31,3,131.88,2.3,395.64,0.2,316.51,Cartão de Crédito,2026-09-23 16:55:35
CO000879,656.649.513-21,P0096,2024-06-23,4,149.9,1.8,599.6,0.15,509.66,Vale-presente,2026-09-23 16:55:35
CO000880,251.680.702-84,P0033,2025-08-08,4,52.43,1.1,209.72,0.2,167.78,PIX,2026-09-23 16:55:35
CO000881,842.794.423-81,P0063,2024-07-31,5,149.9,4.9,749.5,0,749.5,Vale-presente,2026-09-23 16:55:35
CO000882,611.237.969-90,P0048,2025-04-07,3,159.9,2.2,479.7,0,479.7,Vale-presente,2026-09-23 16:55:35
CO000883,315.786.744-37,P0004,2025-10-01,2,169.9,3.5,339.8,0,339.8,Cartão de Débito,2026-09-23 16:55:35
CO000884,756.429.213-22,P0056,2024-10-17,4,89.9,5.0,359.6,0,359.6,,2026-09-23 16:55:35
CO000885,112.391.453-54,P0063,2024-05-14,2,149.9,2.5,299.8,0.1,269.82,Dinheiro,2026-09-23 16:55:35
CO000886,503.726.860-83,P0016,2024-04-23,1,32.89,2.6,32.89,0,32.89,Boleto,2026-09-23 16:55:35
CO000887,647.618.990-98,P0023,2025-02-14,2,129.9,4.1,259.8,0.15,220.83,Boleto,2026-09-23 16:55:35
CO000888,753.903.587-95,P0046,2024-10-12,2,33.91,2.7,67.82,0.1,61.04,Cartão de Débito,2026-09-23 16:55:35
CO000889,961.921.587-96,P0047,2025-10-10,1,142.89,3.7,142.89,0.15,121.46,Vale-presente,2026-09-23 16:55:35
CO000890,907.451.798-16,P0065,2025-02-17,5,82.43,3.1,412.15,0,412.15,Dinheiro,2026-09-23 16:55:35
CO000891,204.323.258-74,P0060,2024-06-09,3,33.62,4.3,100.86,0.05,95.82,Cartão de Crédito,2026-09-23 16:55:35
CO000892,267.957.364-98,P0037,2025-04-20,1,87.89,3.1,87.89,0,87.89,Vale-presente,2026-09-23 16:55:35
CO000893,877.822.580-67,P0088,2025-03-04,1,49.9,2.5,49.9,0.15,42.41,Dinheiro,2026-09-23 16:55:35
CO000894,328.862.992-49,P0025,2025-09-16,1,199.9,3.5,199.9,0,199.9,Boleto,2026-09-23 16:55:35
CO000895,826.861.908-10,P0011,2024-01-24,5,49.9,3.3,249.5,0.05,237.02,Cartão de Débito,2026-09-23 16:55:35
CO000896,572.270.532-47,P0032,2025-12-01,2,67.92,3.3,135.84,0.05,129.05,PIX,2026-09-23 16:55:35
CO000897,500.971.889-82,P0003,2025-02-02,5,26.17,4.5,130.85,0.15,111.22,Boleto,2026-09-23 16:55:35
CO000898,755.606.549-11,P0025,2024-09-02,2,199.9,2.8,399.8,0.15,339.83,Cartão de Crédito,2026-09-23 16:55:35
CO000899,721.188.388-66,P0092,2024-03-07,2,33.62,2.3,67.24,0,67.24,PIX,2026-09-23 16:55:35
CO000900,933.435.691-50,P0074,2025-09-09,4,80.87,2.8,323.48,0.15,274.96,Dinheiro,2026-09-23 16:55:35
CO000901,840.122.505-42,P0023,2025-09-10,4,129.9,3.0,519.6,0,519.6,Cartão de Débito,2026-09-23 16:55:35
CO000902,390.358.841-94,P0032,2024-01-08,4,67.92,3.9,271.68,0,271.68,Vale-presente,2026-09-23 16:55:35
CO000903,170.350.478-46,P0088,2025-01-29,4,49.9,4.5,199.6,0.05,189.62,PIX,2026-09-23 16:55:35
CO000904,741.851.354-38,p0034,2025-09-13,5,329.89,1.5,1649.45,0.2,1319.56,Vale-presente,2026-09-23 16:55:35
CO000905,789.622.599-67,P0092,2024-03-02,1,33.62,2.8,33.62,0.2,26.9,Cartão de Débito,2026-09-23 16:55:35
CO000906,821.303.380-57,P0093,2025-06-07,1,59.42,2.5,59.42,0.15,50.51,Vale-presente,2026-09-23 16:55:35
CO000907,704.523.344-89,P0057,2024-05-29,4,59.93,4.1,239.72,0,239.72,Cartão de Débito,2026-09-23 16:55:35
CO000908,242.936.552-86,P0075,2025-02-26,1,29.88,3.9,29.88,0,29.88,Vale-presente,2026-09-23 16:55:35
CO000909,283.978.136-80,P0019,2024-09-27,2,41.88,4.2,83.76,0,83.76,PIX,2026-09-23 16:55:35
CO000910,530.474.659-97,P0083,2025-05-18,1,143.91,2.8,143.91,0.15,122.32,Cartão de Crédito,2026-09-23 16:55:35
CO000911,527.571.178-24,P0034,2024-12-04,3,329.89,2.2,989.67,0.05,940.19,Dinheiro,2026-09-23 16:55:35
CO000912,956.912.318-15,P0034,2024-05-23,5,329.89,2.1,1649.45,0,1649.45,Cartão de Crédito,2026-09-23 16:55:35
CO000913,222.180.792-94,P0037,2025-07-31,1,87.89,1.9,87.89,0,87.89,Cartão de Débito,2026-09-23 16:55:35
CO000914,161.387.239-24,P0038,2025-08-04,3,134.87,0,404.61,0,404.61,Vale-presente,2026-09-23 16:55:35
CO000915,109.596.239-34,P0061,2025-12-12,4,67.43,3.7,269.72,0,269.72,Cartão de Crédito,2026-09-23 16:55:35
CO000916,570.179.982-50,P0078,2025-10-14,3,89.9,4.4,269.7,0,269.7,Cartão de Crédito,2026-09-23 16:55:35
CO000917,158.151.698-71,P0028,2024-01-13,5,110.42,2.2,552.1,0.1,496.89,Cartão de Débito,2026-09-23 16:55:35
CO000918,706.425.925-99,P0093,2025-02-19,5,59.42,4.0,297.1,0.1,267.39,Dinheiro,2026-09-23 16:55:35
CO000919,384.734.743-81,P0022,2025-05-28,3,98.89,3.6,296.67,0.1,267.0,Cartão de Débito,2026-09-23 16:55:35
CO000920,422.604.688-45,P0048,2025-10-25,4,159.9,4.5,639.6,0.05,607.62,Cartão de Crédito,2026-09-23 16:55:35
CO000921,568.223.815-76,P0062,2024-01-15,2,219.9,2.9,439.8,0.05,417.81,Vale-presente,2026-09-23 16:55:35
CO000922,344.229.584-95,P0044,2024-06-02,2,131.88,2.2,263.76,0,263.76,Cartão de Débito,2026-09-23 16:55:35
CO000923,628.883.745-16,P0100,2025-05-25,1,107.91,3.6,107.91,0,107.91,Dinheiro,2026-09-23 16:55:35
CO000924,644.494.294-34,P0082,2025-06-20,1,89.93,,89.93,0.2,71.94,Cartão de Crédito,2026-09-23 16:55:35
CO000925,969.556.793-95,P0026,2025-10-03,3,269.87,3.7,809.61,0.05,769.13,PIX,2026-09-23 16:55:35
CO000926,530.474.659-97,P0065,2025-07-04,1,82.43,,82.43,0.1,74.19,PIX,2026-09-23 16:55:35
CO000927,179.830.392-40,P0058,2024-09-19,5,155.88,3.1,779.4,0,779.4,Vale-presente,2026-09-23 16:55:35
CO000928,861.550.495-53,P0089,2025-04-12,2,121.37,1.9,242.74,0.15,206.33,Cartão de Crédito,2026-09-23 16:55:35
CO000929,901.521.921-95,P0078,2024-07-13,3,89.9,3.2,269.7,0,269.7,Vale-presente,2026-09-23 16:55:35
CO000930,329.765.170-93,P0017,2024-08-21,5,94.37,2.2,471.85,0,471.85,Cartão de Crédito,2026-09-23 16:55:35
CO000931,431.801.689-21,P0098,2025-07-03,5,143.88,2.9,719.4,0,719.4,PIX,2026-09-23 16:55:35
